classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
13951931,AssertiveWall,1496505,40494f6d2b26b42c41e4,2239,RHESSI Flares BC,18.3,2016-07-12 15:28:26 UTC,,,"{""session"":""3d871ae4b5dd02748ecb2581e134b24dfe2f96a202146806be740356e89f2cb4"",""viewport"":{""width"":1366,""height"":592},""started_at"":""2016-07-12T15:26:50.399Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0"",""utc_offset"":""18000"",""finished_at"":""2016-07-12T15:28:25.782Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":200,""clientHeight"":200,""naturalWidth"":200,""naturalHeight"":200}]}","[{""task"":""T0"",""task_label"":""How many bright spots do you see?"",""value"":""One footpoint""},{""task"":""T1"",""task_label"":""Do you see any faint sources?"",""value"":""No""}]","{""2978415"":{""retired"":null,""Filename"":""Back Projection 11-Dec-2014.jpg""}}",2978415
14177603,AssertiveWall,1496505,0515d80957623610ddd9,2239,RHESSI Flares BC,18.3,2016-07-20 13:49:38 UTC,,,"{""session"":""f3b6de1efae64e959ade986e207f2dd58bc240d3535e38fdbbd8ea95dd08f5ee"",""viewport"":{""width"":1366,""height"":604},""started_at"":""2016-07-20T13:49:25.663Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0"",""utc_offset"":""18000"",""finished_at"":""2016-07-20T13:49:38.294Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":491,""clientHeight"":544,""naturalWidth"":528,""naturalHeight"":585}]}","[{""task"":""T0"",""task_label"":""How many bright spots do you see?"",""value"":""Two footpoints""},{""task"":""T1"",""task_label"":""Do you see any faint sources?"",""value"":""Yes""}]","{""3048633"":{""retired"":null,""Filename"":""MEM NJIT 11-Dec-2014 19_11_00.png""}}",3048633
14177609,AssertiveWall,1496505,0515d80957623610ddd9,2239,RHESSI Flares BC,18.3,2016-07-20 13:49:49 UTC,,,"{""session"":""f3b6de1efae64e959ade986e207f2dd58bc240d3535e38fdbbd8ea95dd08f5ee"",""viewport"":{""width"":1366,""height"":604},""started_at"":""2016-07-20T13:49:40.647Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0"",""utc_offset"":""18000"",""finished_at"":""2016-07-20T13:49:49.275Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":486,""clientHeight"":544,""naturalWidth"":519,""naturalHeight"":581}]}","[{""task"":""T0"",""task_label"":""How many bright spots do you see?"",""value"":""One footpoint""},{""task"":""T1"",""task_label"":""Do you see any faint sources?"",""value"":""No""}]","{""3048630"":{""retired"":null,""Filename"":""Back Projection 11-Dec-2014 19_11_00.png""}}",3048630
14177623,AssertiveWall,1496505,0515d80957623610ddd9,2239,RHESSI Flares BC,18.3,2016-07-20 13:50:15 UTC,,,"{""session"":""f3b6de1efae64e959ade986e207f2dd58bc240d3535e38fdbbd8ea95dd08f5ee"",""viewport"":{""width"":1366,""height"":604},""started_at"":""2016-07-20T13:49:50.984Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0"",""utc_offset"":""18000"",""finished_at"":""2016-07-20T13:50:15.786Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":485,""clientHeight"":544,""naturalWidth"":518,""naturalHeight"":581}]}","[{""task"":""T0"",""task_label"":""How many bright spots do you see?"",""value"":""One footpoint""},{""task"":""T1"",""task_label"":""Do you see any faint sources?"",""value"":""No""}]","{""3048634"":{""retired"":null,""Filename"":""Clean 11-Dec-2014 19_16_00.png""}}",3048634
14177630,AssertiveWall,1496505,0515d80957623610ddd9,2239,RHESSI Flares BC,18.3,2016-07-20 13:50:34 UTC,,,"{""session"":""f3b6de1efae64e959ade986e207f2dd58bc240d3535e38fdbbd8ea95dd08f5ee"",""viewport"":{""width"":1366,""height"":604},""started_at"":""2016-07-20T13:50:17.285Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0"",""utc_offset"":""18000"",""finished_at"":""2016-07-20T13:50:34.456Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":486,""clientHeight"":544,""naturalWidth"":519,""naturalHeight"":580}]}","[{""task"":""T0"",""task_label"":""How many bright spots do you see?"",""value"":""One footpoint""},{""task"":""T1"",""task_label"":""Do you see any faint sources?"",""value"":""No""}]","{""3048631"":{""retired"":null,""Filename"":""Back Projection 11-Dec-2014 19_16_00.png""}}",3048631
14177636,AssertiveWall,1496505,0515d80957623610ddd9,2239,RHESSI Flares BC,18.3,2016-07-20 13:50:43 UTC,,,"{""session"":""f3b6de1efae64e959ade986e207f2dd58bc240d3535e38fdbbd8ea95dd08f5ee"",""viewport"":{""width"":1366,""height"":604},""started_at"":""2016-07-20T13:50:36.151Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0"",""utc_offset"":""18000"",""finished_at"":""2016-07-20T13:50:43.436Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":489,""clientHeight"":544,""naturalWidth"":521,""naturalHeight"":579}]}","[{""task"":""T0"",""task_label"":""How many bright spots do you see?"",""value"":""One footpoint""},{""task"":""T1"",""task_label"":""Do you see any faint sources?"",""value"":""No""}]","{""3048632"":{""retired"":null,""Filename"":""Clean 11-Dec-2014 19_11_00.png""}}",3048632
14178216,AssertiveWall,1496505,0515d80957623610ddd9,2282,RHESSI Pointing,6.9,2016-07-20 14:05:51 UTC,,,"{""session"":""20aba840036f76771aee930a72870473ea6cca76f6be4d2410eec637e7ceb415"",""viewport"":{""width"":1366,""height"":604},""started_at"":""2016-07-20T14:05:46.738Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0"",""utc_offset"":""18000"",""finished_at"":""2016-07-20T14:05:51.324Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":486,""clientHeight"":544,""naturalWidth"":519,""naturalHeight"":581}]}","[{""task"":""T0"",""task_label"":""Please point to the sources that you can see on this image."",""value"":[{""x"":267.52503627071957,""y"":284.84410080362056,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Bright Source""}]}]","{""3048630"":{""retired"":null,""Filename"":""Back Projection 11-Dec-2014 19_11_00.png""}}",3048630
14178221,AssertiveWall,1496505,0515d80957623610ddd9,2282,RHESSI Pointing,6.9,2016-07-20 14:06:02 UTC,,,"{""session"":""20aba840036f76771aee930a72870473ea6cca76f6be4d2410eec637e7ceb415"",""viewport"":{""width"":1366,""height"":604},""started_at"":""2016-07-20T14:05:52.870Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0"",""utc_offset"":""18000"",""finished_at"":""2016-07-20T14:06:02.314Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":491,""clientHeight"":544,""naturalWidth"":528,""naturalHeight"":585}]}","[{""task"":""T0"",""task_label"":""Please point to the sources that you can see on this image."",""value"":[{""x"":287.13744149821304,""y"":226.53841105430467,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Bright Source""},{""x"":276.37584080136975,""y"":329.8528407987857,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Bright Source""},{""x"":151.5412727179879,""y"":280.3480098795552,""tool"":1,""frame"":0,""details"":[],""tool_label"":""Faint Sources""}]}]","{""3048633"":{""retired"":null,""Filename"":""MEM NJIT 11-Dec-2014 19_11_00.png""}}",3048633
14178227,AssertiveWall,1496505,0515d80957623610ddd9,2282,RHESSI Pointing,6.9,2016-07-20 14:06:13 UTC,,,"{""session"":""20aba840036f76771aee930a72870473ea6cca76f6be4d2410eec637e7ceb415"",""viewport"":{""width"":1366,""height"":604},""started_at"":""2016-07-20T14:06:08.939Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0"",""utc_offset"":""18000"",""finished_at"":""2016-07-20T14:06:13.387Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":489,""clientHeight"":544,""naturalWidth"":521,""naturalHeight"":579}]}","[{""task"":""T0"",""task_label"":""Please point to the sources that you can see on this image."",""value"":[{""x"":259.96742537600477,""y"":287.05903266637614,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Bright Source""}]}]","{""3048632"":{""retired"":null,""Filename"":""Clean 11-Dec-2014 19_11_00.png""}}",3048632
14179088,AssertiveWall,1496505,0515d80957623610ddd9,2282,RHESSI Pointing,6.9,2016-07-20 15:05:17 UTC,,,"{""session"":""b60ea2ac6d4a929560a94d77fe0ea1393b1c311499cd7d8ca95a5caf5d458b8d"",""viewport"":{""width"":1366,""height"":604},""started_at"":""2016-07-20T15:05:13.064Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0"",""utc_offset"":""18000"",""finished_at"":""2016-07-20T15:05:16.865Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":485,""clientHeight"":544,""naturalWidth"":518,""naturalHeight"":581}]}","[{""task"":""T0"",""task_label"":""Please point to the sources that you can see on this image."",""value"":[{""x"":237.0982471456005,""y"":300.8766017869388,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Bright Source""}]}]","{""3048634"":{""retired"":null,""Filename"":""Clean 11-Dec-2014 19_16_00.png""}}",3048634
